Customer_ID,Units_Consumed,Num_Appliances,Hours_Used_Per_Day,Num_People,House_Size_SqFt,AC_Units,Num_Lights,Temperature_C,Monthly_Bill_INR
CUST0001,511,5,17.4,2,1056,2,6,20.1,5325.67
CUST0002,716,7,8.5,7,1549,2,6,19.6,7264.61
CUST0003,345,6,13.9,7,1443,1,19,15.6,4840.72
CUST0004,943,13,14.1,6,1451,4,6,15.4,9310.08
CUST0005,591,17,18.8,5,3463,3,14,31.5,8819.36
CUST0006,873,15,12.5,3,3741,4,12,44.1,10613.38
CUST0007,87,8,10.2,3,3568,2,5,15.4,4609.33
CUST0008,397,18,7.4,4,2027,0,17,25.6,5682.98
CUST0009,723,4,6.8,5,2997,4,2,21.3,8589.73
CUST0010,104,16,9.0,6,1145,3,5,27.6,3751.36
CUST0011,418,14,17.6,2,3280,3,12,15.2,7090.36
CUST0012,597,13,2.5,7,1497,1,18,34.9,6440.48
CUST0013,736,19,5.2,3,2309,3,10,44.1,8394.99
CUST0014,400,6,11.5,5,2671,0,16,18.6,5524.78
CUST0015,879,10,24.0,7,1037,3,9,38.1,8651.19
CUST0016,511,13,16.6,5,599,2,13,32.0,5578.27
CUST0017,656,7,8.4,7,1719,1,8,41.6,6718.45
CUST0018,702,12,6.8,5,3382,0,17,17.3,8801.53
CUST0019,970,14,18.6,5,2579,3,14,26.1,10628.77
CUST0020,593,4,11.3,3,1511,0,15,20.8,5819.75
CUST0021,915,16,4.0,5,977,2,15,35.1,8322.23
CUST0022,809,12,3.8,3,2215,1,17,21.6,8426.93
CUST0023,890,17,4.3,4,2183,1,19,32.0,9149.97
CUST0024,485,3,14.8,6,2838,1,11,30.1,6695.47
CUST0025,764,2,20.1,6,1373,1,5,24.0,7145.81
CUST0026,665,14,10.3,2,2675,1,6,16.7,7440.19
CUST0027,527,16,22.6,4,3818,0,6,41.0,8117.53
CUST0028,269,8,5.7,3,2769,2,15,31.8,5289.44
CUST0029,434,16,7.4,1,3272,0,9,18.4,6553.01
CUST0030,745,3,2.2,2,2210,1,4,34.6,7147.55
CUST0031,880,14,6.3,7,2400,3,2,35.1,9133.55
CUST0032,93,13,5.6,7,961,0,9,34.1,2458.46
CUST0033,799,19,10.5,6,2746,2,13,30.2,9150.12
CUST0034,781,17,6.6,1,3055,0,12,30.4,8432.15
CUST0035,644,9,3.6,2,3652,0,16,19.7,7921.54
CUST0036,99,14,9.7,2,3931,1,7,36.4,5198.74
CUST0037,906,3,6.0,1,622,0,17,39.7,6780.68
CUST0038,482,12,20.7,6,3044,2,10,33.9,7202.66
CUST0039,256,14,10.5,3,3657,1,17,44.0,5976.0
CUST0040,298,5,11.7,3,3710,2,15,15.5,6005.88
CUST0041,188,4,17.8,6,1186,1,10,22.5,3566.03
CUST0042,878,16,4.8,3,3644,3,2,21.3,10349.54
CUST0043,493,9,11.9,6,1594,0,6,18.4,5364.8
CUST0044,782,3,16.0,5,705,4,19,33.5,7532.74
CUST0045,667,15,14.2,4,2253,2,3,18.4,7780.44
CUST0046,94,15,5.7,7,2232,0,14,41.0,3678.28
CUST0047,358,4,1.5,5,3049,2,5,36.6,5788.73
CUST0048,783,10,23.1,3,472,3,19,30.2,7504.74
CUST0049,542,7,2.9,4,3121,0,4,32.9,6654.55
CUST0050,199,5,13.1,1,1290,3,14,41.8,3737.46
CUST0051,639,7,2.8,1,2107,2,14,39.8,6725.5
CUST0052,880,7,20.5,5,1942,3,12,42.8,9442.32
CUST0053,486,19,13.5,1,2939,3,9,15.7,7360.02
CUST0054,108,9,23.6,1,3946,4,9,39.1,6037.04
CUST0055,623,14,12.6,6,2669,2,16,38.0,8143.13
CUST0056,467,4,12.1,3,825,3,14,35.9,5338.38
CUST0057,735,2,19.6,3,3536,2,4,28.7,8772.17
CUST0058,330,10,23.2,6,1236,2,4,24.2,5171.28
CUST0059,708,11,13.6,3,3057,3,17,18.5,9024.72
CUST0060,770,19,18.1,5,1799,4,19,35.9,9231.41
CUST0061,799,2,16.4,5,865,0,12,37.4,6869.36
CUST0062,361,14,14.8,2,382,2,12,44.7,4441.21
CUST0063,461,8,12.6,7,3332,0,13,34.9,6795.51
CUST0064,368,17,17.8,6,3687,1,11,44.9,7235.68
CUST0065,836,2,20.5,3,1464,0,5,40.6,7613.51
CUST0066,368,11,14.2,2,2844,1,7,25.0,5883.23
CUST0067,490,10,13.8,7,2719,1,18,40.2,7081.38
CUST0068,303,9,15.2,6,960,0,14,15.3,3918.99
CUST0069,348,15,9.5,3,512,4,5,26.6,4564.26
CUST0070,274,15,6.7,4,1275,2,8,23.5,4232.78
CUST0071,815,6,15.4,4,1223,0,10,23.3,7517.1
CUST0072,935,16,4.0,7,1953,2,9,40.4,9367.25
